disturbance,transit_time,angular_width,MPA,avg_speed,final_speed,mass,BX,BZ_GSE,Plasma_Temp,Plasma_Speed,Plasma_flow_long,Alpha_Prot_ratio,flow_pressure
2004-12-08 20:26:00,64,360,310,611,459,5300000000000000,5.5,-0.7,74174,452,-3.3,0.017,1.71
2005-01-04 09:30:00,71,102,290,1087,1161,6900000000000000,-2.6,0.9,241384,743,0.8,0.061,2.75
2005-01-05 15:30:00,73,360,78,735,892,4500000000000000,-4,-0.6,93680,609,-0.7,0.052,1.65
2005-01-13 17:54:00,65,360,97,495,540,420000000000000,1.8,0.7,266756,673,-0.3,0.05,2.27
2005-01-15 06:30:00,26,360,359,2049,1926,1514320517225656,3.6,-0.1,151381,630,0.6,0.043,1.55
2005-01-15 23:07:00,32,360,323,2861,2596,1.8E+016,3.3,-1.3,98207,526,1.5,0.078,1.82
2005-01-17 09:54:00,32,360,334,2094,1700,3.2E+016,-4.7,-0.5,327652,695,1,0.073,56.7
2005-01-20 06:54:00,33.5,360,288,882,940,1514320517225656,-5.3,-0.1,100292,444,-0.3,0.04,2.49
2005-02-13 11:06:00,105,151,129,584,488,1100000000000000,3.1,-1.2,27067,379,-1.3,0.027,1.73
2005-02-17 00:06:00,80,360,292,1135,1252,1514320517225656,-2,2.6,187005,403,2.1,0.028,1.72
2005-05-13 17:12:00,32.5,360,2,1689,394,1514320517225656,-2.5,1.8,197414,535,2.9,0.027,0.85
2005-05-16 13:50:00,85,140,311,405,417,4300000000000000,-7.7,-2.4,3847,559,2,0.043,0.31
2005-05-26 15:06:00,51,360,275,586,565,1514320517225656,1.5,0.7,15263,323,-1.3,0.018,1.01
2005-05-26 21:26:00,78,199,61,420,401,1300000000000000,-0.6,-0.4,19074,310,-0.6,0.015,1.16
2005-05-27 00:26:00,94,139,208,263,408,990000000000000,0,1.6,17274,309,-0.1,0.02,1.31
2005-07-07 17:06:00,57.5,360,39,683,636,1514320517225656,4,-3.8,6387,327,-2.6,0.017,1.18
2005-07-30 06:50:00,47,360,50,1968,1595,1514320517225656,-1.1,-0.6,79551,503,-5.2,0.04,2.02
2005-08-05 08:54:00,86.5,233,52,494,487,2900000000000000,-4.8,3,82713,405,-2.8,0.074,1.95
2005-08-22 01:31:00,52,360,220,1194,1086,5300000000000000,-3.7,0.1,109186,443,2,0.074,2.08
2005-08-22 17:30:00,36,360,227,2378,2612,6300000000000000,-2.4,-0.9,161054,526,5.6,0.04,1.5
2005-08-31 11:30:00,50,360,287,825,1116,2400000000000000,-0.3,-13.4,58147,390,-3.4,0.038,6
2005-09-09 19:48:00,29,360,115,2257,1810,1.6E+017,8.2,3,192206,463,-2.3,0.036,3.77
2005-09-10 21:52:00,32,360,120,1893,1354,3.9E+016,4.7,-3.1,1520878,1045,-3.4,0.04,22.5
2005-09-13 20:00:00,36,360,149,1866,1915,1.9E+016,4.2,-1.6,117603,585,1.2,0.139,0.89
2005-12-29 20:59:00,64,110,166,466,636,4600000000000000,3,-0.2,169535,648,1.1,0.043,1.97
2006-04-10 06:06:00,77,251,313,183,312,3000000000000000,1.2,-1.9,121694,692,-0.8,0.032,1.89
2006-07-06 08:54:00,83.5,360,205,911,995,1514320517225656,0.6,0.8,124664,580,-0.5,0.037,1.68
